9,8,6,6,8,12,9,13,23
14,14,9,9,9,7,12,10,13
2,6,6,7,8,5,14,11,36
10,9,7,7,14,11,8,8,21
3,3,4,4,27,6,20,8,19
2,2,2,3,3,5,6,11,61
6,9,7,9,7,8,8,21,21
4,2,6,3,5,4,13,38,21
4,4,4,5,5,9,12,16,36
15,12,10,6,6,5,5,20,18
6,6,5,4,9,11,15,15,23
9,8,8,6,14,11,8,14,19
2,2,2,2,5,4,14,19,45
7,4,5,4,6,18,17,20,14
5,3,2,3,8,7,19,24,23
2,2,3,3,8,5,21,22,29
3,10,2,6,10,29,6,7,23
18,25,7,7,6,6,5,8,14
27,7,11,7,7,10,5,9,13
7,6,7,9,8,19,10,12,18
5,8,25,11,12,8,8,9,9
4,5,4,6,8,8,16,11,34
9,8,12,9,9,9,14,12,13
3,3,3,7,5,6,24,36,9
4,2,3,3,3,3,6,6,65
4,4,5,38,14,8,8,7,9
3,1,3,4,3,2,4,4,72
6,7,11,13,9,19,12,6,7,5
2,2,2,3,3,3,4,9,68
3,3,2,7,52,5,6,10,6
4,2,4,6,3,29,8,29,12
4,4,4,3,8,10,13,29,20
4,2,3,4,4,10,28,25,17
15,7,8,6,9,8,6,5,31
3,4,2,3,4,3,5,8,64
11,8,10,6,15,7,4,8,13,13
3,2,4,3,3,3,4,4,70
3,3,2,3,3,4,5,8,65
3,1,2,2,3,6,7,6,67
2,1,2,2,3,3,5,16,62
6,13,19,7,8,6,6,7,22
1,0,1,1,4,2,4,67,16
3,4,7,4,27,18,6,7,19
8,9,7,10,10,7,8,12,26
2,3,2,2,4,3,5,32,43
1,1,1,2,4,24,24,10,29
4,3,3,3,3,8,4,8,59
2,2,4,3,4,4,5,5,67
10,6,8,4,6,7,22,12,19
13,11,11,11,7,8,10,8,16
1,1,1,2,2,3,6,8,72
2,2,2,3,4,3,6,5,68
2,2,3,2,3,4,5,59,16
2,1,2,2,1,2,4,12,69
6,4,5,5,4,45,8,9,10
28,12,9,7,6,11,9,7,6
2,1,1,2,3,3,6,27,49
7,19,13,7,7,7,9,12,14
1,1,1,4,4,2,44,19,18
2,2,3,4,44,11,9,5,14
3,6,6,6,3,11,5,37,18
4,2,4,5,6,15,28,21,10
2,2,5,2,4,6,53,6,15
1,3,3,3,4,4,6,9,63
4,4,4,5,5,6,16,27,24
8,5,6,4,3,7,7,8,47
4,5,5,6,8,7,9,10,41
8,11,4,3,6,12,14,11,27
13,9,10,9,6,7,8,13,21
5,4,10,11,9,12,13,18,13
2,2,3,2,15,8,32,18,14
5,4,5,7,5,12,10,7,40
7,7,7,3,3,30,19,13,6
6,5,4,8,8,6,8,12,37
4,3,3,3,3,3,7,38,32
4,6,8,6,5,5,7,14,41
5,4,16,6,8,4,22,16,16
2,1,2,2,28,6,2,35,16
4,4,3,2,4,5,27,25,22
9,5,5,9,6,8,9,12,33
3,2,3,4,4,25,8,11,35
3,4,5,5,4,4,41,11,17
3,2,5,4,9,25,14,10,23
2,5,14,3,3,6,37,14,11
2,2,1,2,7,2,62,11,6
5,6,6,6,11,13,13,19,17
9,6,4,7,12,11,11,12,24
10,7,7,8,9,8,10,21,16
5,7,3,6,9,4,19,13,29
3,2,7,7,2,3,6,29,35
3,2,2,2,10,3,2,6,66
3,2,3,2,5,3,6,12,59
4,3,3,5,7,9,16,24,24
7,9,5,6,19,6,21,10,12
2,5,3,2,5,2,5,7,65
1,2,3,3,4,14,46,13,10
8,18,11,8,12,8,10,8,11
2,2,3,3,8,11,7,8,51
21,7,12,9,6,10,8,8,14
9,17,11,13,8,11,6,6,13
